8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-11-21:21:59; 151=6509; 55=AAPL; 11=C_algo20240811212159; 31=0; 150=4; 39=4; 54=2; 17=exec20240811212159; 32=0; 41=algo20240811212159; 38=9763; 60=2024-08-11-21:21:59; 6=0.0; 14=0; 37=algo20240811212159; 10=252;
8=FIX4.4; 35=8; 34=56; 49=MS; 56=M3; 52=2024-08-11-21:22:01; 151=21432; 55=MSFT; 11=C_algo20240811212201; 31=0; 150=4; 39=4; 54=2; 17=exec20240811212201; 32=0; 41=algo20240811212201; 38=28576; 60=2024-08-11-21:22:01; 6=0.0; 14=0; 37=algo20240811212201; 10=252;
8=FIX4.4; 35=8; 34=66; 49=MS; 56=M3; 52=2024-08-11-21:22:08; 151=6560; 55=GOOG; 11=C_algo20240811212207; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212208; 32=0; 41=algo20240811212207; 38=19676; 60=2024-08-11-21:22:08; 6=0.0; 14=6558; 37=algo20240811212207; 10=252;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=M3; 52=2024-08-11-21:22:10; 151=19655; 55=GOOGL; 11=C_algo20240811212210; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212210; 32=0; 41=algo20240811212210; 38=26206; 60=2024-08-11-21:22:10; 6=0.0; 14=0; 37=algo20240811212210; 10=252;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=M3; 52=2024-08-11-21:22:14; 151=1099; 55=INTC; 11=C_algo20240811212212; 31=0; 150=4; 39=4; 54=2; 17=exec20240811212214; 32=0; 41=algo20240811212212; 38=2746; 60=2024-08-11-21:22:14; 6=0.0; 14=1098; 37=algo20240811212212; 10=252;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=M3; 52=2024-08-11-21:22:17; 151=4260; 55=PEP; 11=C_algo20240811212216; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212217; 32=0; 41=algo20240811212216; 38=12776; 60=2024-08-11-21:22:17; 6=0.0; 14=4258; 37=algo20240811212216; 10=252;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=M3; 52=2024-08-11-21:22:19; 151=7465; 55=NFLX; 11=C_algo20240811212219; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212219; 32=0; 41=algo20240811212219; 38=9331; 60=2024-08-11-21:22:19; 6=0.0; 14=0; 37=algo20240811212219; 10=252;
8=FIX4.4; 35=8; 34=85; 49=MS; 56=M3; 52=2024-08-11-21:22:22; 151=9094; 55=CSCO; 11=C_algo20240811212221; 31=0; 150=4; 39=4; 54=2; 17=exec20240811212222; 32=0; 41=algo20240811212221; 38=15154; 60=2024-08-11-21:22:22; 6=0.0; 14=3030; 37=algo20240811212221; 10=252;
8=FIX4.4; 35=8; 34=88; 49=MS; 56=M3; 52=2024-08-11-21:22:24; 151=11246; 55=AMGN; 11=C_algo20240811212224; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212224; 32=0; 41=algo20240811212224; 38=16868; 60=2024-08-11-21:22:24; 6=0.0; 14=0; 37=algo20240811212224; 10=252;
8=FIX4.4; 35=8; 34=94; 49=MS; 56=M3; 52=2024-08-11-21:22:28; 151=7596; 55=TSLA; 11=C_algo20240811212227; 31=0; 150=4; 39=4; 54=2; 17=exec20240811212228; 32=0; 41=algo20240811212227; 38=12660; 60=2024-08-11-21:22:28; 6=0.0; 14=2532; 37=algo20240811212227; 10=252;
8=FIX4.4; 35=8; 34=97; 49=MS; 56=M3; 52=2024-08-11-21:22:30; 151=24864; 55=TXN; 11=C_algo20240811212230; 31=0; 150=4; 39=4; 54=1; 17=exec20240811212230; 32=0; 41=algo20240811212230; 38=31080; 60=2024-08-11-21:22:30; 6=0.0; 14=0; 37=algo20240811212230; 10=252;
