8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-06-12:00:47, 55=AAPL, 40=2, 38=25942, 21=2, 11=algo20240806120047, 60=2024-08-06-12:00:47, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-06-12:00:47, 55=AAPL, 40=2, 38=25942, 21=2, 11=algo20240806120047, 60=2024-08-06-12:00:47, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-06-12:00:47, 55=AAPL, 40=2, 38=25942, 21=2, 11=algo20240806120047, 60=2024-08-06-12:00:47, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-06-12:00:47, 55=AAPL, 40=2, 38=25942, 21=2, 11=algo20240806120047, 60=2024-08-06-12:00:47, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=53, 49=M3, 56=MS, 52=2024-08-06-12:00:50, 55=MSFT, 40=2, 38=29784, 21=2, 11=algo20240806120050, 60=2024-08-06-12:00:50, 54=1, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2024-08-06-12:00:53, 55=AMZN, 40=2, 38=3119, 21=2, 11=algo20248=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2024-08-06-12:00:53, 55=AMZN, 40=2, 38=3119, 21=2, 11=algo20240806120053, 60=2024-08-06-12:00:53, 54=1, 44=133.47, 10=0252,
0806120053, 60=2024-08-06-12:00:53, 54=1, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2024-08-06-12:00:55, 55=FB, 40=2, 38=16727, 21=2, 11=algo20240806120055, 60=2024-08-06-12:00:55, 54=2, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2024-08-06-12:00:57, 55=GOOG, 40=2, 38=21736, 21=2, 11=algo20240806120057, 60=2024-08-06-12:00:57, 54=2, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=60, 49=M3, 56=MS, 52=2024-08-06-12:01:00, 55=GOOGL, 40=2, 38=6868, 21=2, 11=algo20240806120100, 60=2024-08-06-12:01:00, 54=1, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2024-08-06-12:01:03, 55=INTC, 40=2, 38=20767, 21=2, 11=algo20240806120103, 60=2024-08-06-12:01:03, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2024-08-06-12:01:05, 55=PEP, 40=2, 38=10023, 21=2, 11=algo20240806120105, 60=2024-08-06-12:01:05, 54=2, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2024-08-06-12:01:08, 55=NFLX, 40=2, 38=24567, 21=2, 11=algo20240806120108, 60=2024-08-06-12:01:08, 54=2, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2024-08-06-12:01:10, 55=CSCO, 40=2, 38=5813, 21=2, 11=algo20240806120110, 60=2024-08-06-12:01:10, 54=1, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2024-08-06-12:01:13, 55=AMGN, 40=2, 38=15050, 21=2, 11=algo20240806120113, 60=2024-08-06-12:01:13, 54=1, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=70, 49=M3, 56=MS, 52=2024-08-06-12:01:15, 55=PYPL, 40=2, 38=17196, 21=2, 11=algo20240806120115, 60=2024-08-06-12:01:15, 54=1, 44=723.61, 10=0252,
